application,dataset_seed,infrastructure,infra_size,task,security_threshold,original_considered,non_cloud_candidates,filtered_by_sw,filtered_by_service,cloud_filtered_by_service,filtered_by_security,total_candidates,cloud_candidates,filtered_by_hw
arOrch,146588263,infrastructure_195,195,fRules,1.0,195,174,49,9,6,0,174,,79
arOrch,146588263,infrastructure_195,195,fAR,1.0,195,35,160,,,0,47,12,
arOrch,146588263,infrastructure_200,200,fLogin,1.0,200,576,46,10,6,0,576,,
arOrch,146588263,infrastructure_200,200,fCrop,0.66,200,33,167,,,0,45,12,
arOrch,146588263,infrastructure_200,200,fGeo,0.66,200,1018,46,7,3,0,1038,20,
arOrch,146588263,infrastructure_200,200,fDCC,1.0,200,154,46,,,0,190,36,
arOrch,146588263,infrastructure_200,200,fCheckDCC,1.0,200,192,46,,3,0,212,20,106
arOrch,146588263,infrastructure_200,200,fRules,1.0,200,183,52,10,6,0,183,,77
arOrch,146588263,infrastructure_200,200,fAR,1.0,200,33,167,,,0,45,12,
arOrch,146588263,infrastructure_205,205,fLogin,1.0,205,584,49,10,6,0,584,,
arOrch,146588263,infrastructure_205,205,fCrop,0.66,205,38,167,,,0,50,12,
arOrch,146588263,infrastructure_205,205,fGeo,0.66,205,886,49,7,3,0,921,35,
arOrch,146588263,infrastructure_205,205,fDCC,1.0,205,156,49,,,0,192,36,
arOrch,146588263,infrastructure_205,205,fCheckDCC,1.0,205,235,49,,3,0,257,22,109
arOrch,146588263,infrastructure_205,205,fRules,1.0,205,260,40,10,6,0,260,,90
arOrch,146588263,infrastructure_205,205,fAR,1.0,205,38,167,,,0,50,12,
arOrch,146588263,infrastructure_210,210,fLogin,1.0,210,444,52,10,6,0,444,,
arOrch,146588263,infrastructure_210,210,fCrop,0.66,210,40,170,,,0,52,12,
arOrch,146588263,infrastructure_210,210,fGeo,0.66,210,452,52,7,3,0,472,20,
arOrch,146588263,infrastructure_210,210,fDCC,1.0,210,158,52,,,0,194,36,
arOrch,146588263,infrastructure_210,210,fCheckDCC,1.0,210,132,52,,3,0,144,12,114
arOrch,146588263,infrastructure_210,210,fRules,1.0,210,256,57,10,6,0,256,,79
arOrch,146588263,infrastructure_210,210,fAR,1.0,210,40,170,,,0,52,12,
arOrch,146588263,infrastructure_215,215,fLogin,1.0,215,429,62,10,6,0,429,,
arOrch,146588263,infrastructure_215,215,fCrop,0.66,215,36,179,,,0,48,12,
arOrch,146588263,infrastructure_215,215,fGeo,0.66,215,868,62,6,4,0,898,30,
arOrch,146588263,infrastructure_215,215,fDCC,1.0,215,153,62,,,0,189,36,
arOrch,146588263,infrastructure_215,215,fCheckDCC,1.0,215,245,62,,3,0,267,22,104
arOrch,146588263,infrastructure_215,215,fRules,1.0,215,260,56,10,6,0,260,,84
arOrch,146588263,infrastructure_215,215,fAR,1.0,215,36,179,,,0,48,12,
arOrch,146588263,infrastructure_220,220,fLogin,1.0,220,468,54,10,6,0,468,,
arOrch,146588263,infrastructure_220,220,fCrop,0.66,220,34,186,,,0,46,12,
arOrch,146588263,infrastructure_220,220,fGeo,0.66,220,474,54,7,4,0,504,30,
arOrch,146588263,infrastructure_220,220,fDCC,1.0,220,166,54,,,0,202,36,
arOrch,146588263,infrastructure_220,220,fCheckDCC,1.0,220,255,54,,3,0,277,22,115
arOrch,146588263,infrastructure_220,220,fRules,1.0,220,195,62,10,6,0,195,,83
arOrch,146588263,infrastructure_220,220,fAR,1.0,220,34,186,,,0,46,12,
mediaOrch,146588263,infrastructure_50,50,fDocAnalysis,1.0,50,75,13,,,0,129,54,12
mediaOrch,146588263,infrastructure_50,50,fProcDoc,1.0,50,132,17,,,0,204,72,
mediaOrch,146588263,infrastructure_50,50,fPayAppr,0.66,50,37,13,,,0,67,30,
mediaOrch,146588263,infrastructure_50,50,fNotify,0.66,50,37,13,,,0,73,36,
mediaOrch,146588263,infrastructure_50,50,fArchive,0.66,50,37,13,,,0,67,30,
mediaOrch,146588263,infrastructure_55,55,fDocAnalysis,1.0,55,70,15,,,0,106,36,5
mediaOrch,146588263,infrastructure_55,55,fProcDoc,1.0,55,123,14,,,0,177,54,
mediaOrch,146588263,infrastructure_55,55,fPayAppr,0.66,55,40,15,,,0,70,30,
mediaOrch,146588263,infrastructure_55,55,fNotify,0.66,55,40,15,,,0,76,36,
mediaOrch,146588263,infrastructure_55,55,fArchive,0.66,55,40,15,,,0,70,30,
mediaOrch,146588263,infrastructure_60,60,fDocAnalysis,1.0,60,74,16,,,0,110,36,7
mediaOrch,146588263,infrastructure_60,60,fProcDoc,1.0,60,135,15,,,0,189,54,
mediaOrch,146588263,infrastructure_60,60,fPayAppr,0.66,60,44,16,,,0,74,30,
mediaOrch,146588263,infrastructure_60,60,fNotify,0.66,60,44,16,,,0,80,36,
mediaOrch,146588263,infrastructure_60,60,fArchive,0.66,60,44,16,,,0,74,30,
mediaOrch,146588263,infrastructure_65,65,fDocAnalysis,1.0,65,88,13,,,0,124,36,8
mediaOrch,146588263,infrastructure_65,65,fProcDoc,1.0,65,96,17,,,0,132,36,
mediaOrch,146588263,infrastructure_65,65,fPayAppr,0.66,65,52,13,,,0,82,30,
mediaOrch,146588263,infrastructure_65,65,fNotify,0.66,65,52,13,,,0,88,36,
mediaOrch,146588263,infrastructure_65,65,fArchive,0.66,65,52,13,,,0,82,30,
mediaOrch,146588263,infrastructure_70,70,fDocAnalysis,1.0,70,78,12,,,0,114,36,19
mediaOrch,146588263,infrastructure_70,70,fProcDoc,1.0,70,76,32,,,0,112,36,
mediaOrch,146588263,infrastructure_70,70,fPayAppr,0.66,70,58,12,,,0,88,30,
mediaOrch,146588263,infrastructure_70,70,fNotify,0.66,70,58,12,,,0,94,36,
